Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1617310800.0 131.0 62 102 NA NA NA 195 431 NA NA NA 15308 2629 NA NA NA 12327 1095 NA NA NA
1617310800.0 1310.0 NA 154 NA NA NA NA 495 NA NA NA NA 3291 NA NA NA NA 3411 NA NA NA
1617310800.0 1311.0 NA 145 NA NA NA NA 474 NA NA NA NA 3225 NA NA NA NA 2722 NA NA NA
1617310800.0 1312.0 NA 164 NA NA NA NA 541 NA NA NA NA 3693 NA NA NA NA 3971 NA NA NA
1617310800.0 1313.0 NA 164 NA NA NA NA 581 NA NA NA NA 2713 NA NA NA NA 3295 NA NA NA
1617310800.0 1314.0 NA 150 NA NA NA NA 543 NA NA NA NA 3161 NA NA NA NA 4043 NA NA NA
1617310800.0 1315.0 NA 146 NA NA NA NA 500 NA NA NA NA 3507 NA NA NA NA 4460 NA NA NA
1617310800.0 1316.0 NA 149 NA NA NA NA 502 NA NA NA NA 3144 NA NA NA NA 2335 NA NA NA
1617310800.0 1317.0 NA 146 NA NA NA NA 562 NA NA NA NA 4146 NA NA NA NA 7024 NA NA NA
1617310800.0 1318.0 NA 134 NA NA NA NA 515 NA NA NA NA 2941 NA NA NA NA 3064 NA NA NA
1617310800.0 1319.0 NA 137 NA NA NA NA 500 NA NA NA NA 2728 NA NA NA NA 2801 NA NA NA
1617310800.0 132.0 79 108 NA NA NA 249 512 NA NA NA 115240 8581 NA NA NA 87800 5753 NA NA NA
1617310800.0 1320.0 NA 158 NA NA NA NA 510 NA NA NA NA 3027 NA NA NA NA 3616 NA NA NA
1617310800.0 1321.0 NA 149 NA NA NA NA 549 NA NA NA NA 3324 NA NA NA NA 2874 NA NA NA
1617310800.0 1322.0 NA 155 NA NA NA NA 564 NA NA NA NA 4193 NA NA NA NA 4237 NA NA NA
1617310800.0 1323.0 NA 146 331 0 NA NA 525 742 0 NA NA 2981 5436 982 NA NA 3119 8268 1566 NA
1617310800.0 1324.0 NA 151 NA NA NA NA 586 NA NA NA NA 3280 NA NA NA NA 2745 NA NA NA
1617310800.0 1325.0 NA 143 NA NA NA NA 579 NA NA NA NA 3526 NA NA NA NA 4085 NA NA NA
1617310800.0 1325.1 NA 176 200 0 NA NA 571 413 0 NA NA 3344 3633 787 NA NA 3214 3792 2034 NA
1617310800.0 1325.2 NA 142 NA NA NA NA 575 NA NA NA NA 3119 NA NA NA NA 4307 NA NA NA
1617310800.0 1325.3 NA 152 189 0 NA NA 540 422 0 NA NA 3317 3671 790 NA NA 4034 6891 2499 NA
1617310800.0 1325.4 NA 146 NA NA NA NA 639 NA NA NA NA 3172 NA NA NA NA 3988 NA NA NA
1617310800.0 1325.5 NA 200 NA NA NA NA 368 NA NA NA NA 2245 NA NA NA NA 1530 NA NA NA
1617310800.0 1325.51 NA 178 0 NA NA NA 347 0 NA NA NA 4678 201 NA NA NA 4611 792 NA NA
1617310800.0 1325.516 NA 184 0 NA NA NA 388 0 NA NA NA 5863 199 NA NA NA 5987 1088 NA NA
1617310800.0 1325.5161 NA 180 0 NA NA NA 386 0 NA NA NA 5823 203 NA NA NA 5836 1212 NA NA
1617310800.0 1325.517 NA 178 0 NA NA NA 360 0 NA NA NA 6600 210 NA NA NA 4684 852 NA NA
1617310800.0 1325.518 NA 197 0 NA NA NA 393 0 NA NA NA 11497 200 NA NA NA 5719 860 NA NA
1617310800.0 1325.6 NA 202 NA NA NA NA 432 NA NA NA NA 15991 NA NA NA NA 7904 NA NA NA
1617310800.0 1325.61 NA 206 NA NA NA NA 425 NA NA NA NA 12207 NA NA NA NA 5844 NA NA NA
1617310800.0 1325.7 NA 210 0 NA NA NA 426 0 NA NA NA 18483 186 NA NA NA 15332 682 NA NA
1617310800.0 1325.8 NA 214 0 NA NA NA 423 0 NA NA NA 16508 177 NA NA NA 10960 974 NA NA
1617310800.0 1325.81 NA 205 0 NA NA NA 425 0 NA NA NA 12545 206 NA NA NA 11367 1549 NA NA
1617310800.0 1325.9 NA 177 NA NA NA NA 515 NA NA NA NA 4043 NA NA NA NA 2758 NA NA NA
1617310800.0 1325.91 NA 174 NA NA NA NA 652 NA NA NA NA 4100 NA NA NA NA 3050 NA NA NA
1617310800.0 1326.0 NA 152 NA NA NA NA 444 NA NA NA NA 3336 NA NA NA NA 3261 NA NA NA
1617310800.0 1327.0 NA 136 NA NA NA NA 535 NA NA NA NA 2919 NA NA NA NA 3450 NA NA NA
1617310800.0 1328.0 NA 150 NA NA NA NA 480 NA NA NA NA 3180 NA NA NA NA 4308 NA NA NA
1617310800.0 1329.0 NA 147 NA NA NA NA 492 NA NA NA NA 3077 NA NA NA NA 2606 NA NA NA
1617310800.0 1329.1 NA 196 0 NA NA NA 424 0 NA NA NA 9952 196 NA NA NA 8267 1213 NA NA
1617310800.0 1330.0 NA 154 NA NA NA NA 548 NA NA NA NA 3763 NA NA NA NA 3998 NA NA NA
1617310800.0 1331.0 NA 150 NA NA NA NA 522 NA NA NA NA 3177 NA NA NA NA 4693 NA NA NA
1617310800.0 1332.0 NA 150 NA NA NA NA 598 NA NA NA NA 3564 NA NA NA NA 4169 NA NA NA
1617310800.0 1333.0 NA 156 NA NA NA NA 487 NA NA NA NA 2994 NA NA NA NA 1158 NA NA NA
1617310800.0 1334.0 NA 159 NA NA NA NA 476 NA NA NA NA 4087 NA NA NA NA 2866 NA NA NA
1617310800.0 1335.0 NA 148 NA NA NA NA 529 NA NA NA NA 2711 NA NA NA NA 3388 NA NA NA
1617310800.0 1336.0 NA 162 NA NA NA NA 569 NA NA NA NA 3372 NA NA NA NA 3621 NA NA NA
1617310800.0 1337.0 NA 170 NA NA NA NA 556 NA NA NA NA 3402 NA NA NA NA 4658 NA NA NA
1617310800.0 1338.0 NA 157 NA NA NA NA 542 NA NA NA NA 4019 NA NA NA NA 5571 NA NA NA
1617310800.0 1339.0 NA 168 NA NA NA NA 580 NA NA NA NA 3281 NA NA NA NA 4571 NA NA NA
1617310800.0 134.701 NA 52 NA NA NA NA 148 NA NA NA NA 338 NA NA NA NA 795 NA NA NA
1617310800.0 134.702 NA 55 NA NA NA NA 144 NA NA NA NA 318 NA NA NA NA 2313 NA NA NA
1617310800.0 134.703 NA 49 NA NA NA NA 144 NA NA NA NA 332 NA NA NA NA 1025 NA NA NA
1617310800.0 134.704 NA 41 NA NA NA NA 143 NA NA NA NA 348 NA NA NA NA 2140 NA NA NA
1617310800.0 134.705 NA 58 NA NA NA NA 158 NA NA NA NA 318 NA NA NA NA 1265 NA NA NA
1617310800.0 134.706 NA 57 NA NA NA NA 147 NA NA NA NA 334 NA NA NA NA 1781 NA NA NA
1617310800.0 134.707 NA 53 NA NA NA NA 146 NA NA NA NA 373 NA NA NA NA 2061 NA NA NA
1617310800.0 134.708 NA 45 NA NA NA NA 147 NA NA NA NA 332 NA NA NA NA 1202 NA NA NA
1617310800.0 134.709 NA 47 NA NA NA NA 147 NA NA NA NA 329 NA NA NA NA 1097 NA NA NA
1617310800.0 134.71 NA 53 NA NA NA NA 136 NA NA NA NA 329 NA NA NA NA 1371 NA NA NA
1617310800.0 134.801 NA 47 NA NA NA NA 171 NA NA NA NA 355 NA NA NA NA 1361 NA NA NA
1617310800.0 134.802 NA 51 NA NA NA NA 168 NA NA NA NA 382 NA NA NA NA 1570 NA NA NA
1617310800.0 134.803 NA 54 NA NA NA NA 171 NA NA NA NA 373 NA NA NA NA 1286 NA NA NA
1617310800.0 134.804 NA 52 NA NA NA NA 171 NA NA NA NA 357 NA NA NA NA 1321 NA NA NA
1617310800.0 134.805 NA 43 NA NA NA NA 168 NA NA NA NA 376 NA NA NA NA 1440 NA NA NA
1617310800.0 134.806 NA 41 NA NA NA NA 172 NA NA NA NA 372 NA NA NA NA 803 NA NA NA
1617310800.0 134.807 NA 115 NA NA NA NA 279 NA NA NA NA 1995 NA NA NA NA 5272 NA NA NA
1617310800.0 134.808 NA 106 NA NA NA NA 294 NA NA NA NA 1510 NA NA NA NA 2543 NA NA NA
1617310800.0 134.809 NA 56 NA NA NA NA 168 NA NA NA NA 377 NA NA NA NA 1094 NA NA NA
1617310800.0 134.81 NA 56 NA NA NA NA 167 NA NA NA NA 380 NA NA NA NA 1714 NA NA NA
1617310800.0 134.811 NA 46 NA NA NA NA 174 NA NA NA NA 384 NA NA NA NA 1035 NA NA NA
1617310800.0 134.812 NA 47 NA NA NA NA 169 NA NA NA NA 393 NA NA NA NA 2260 NA NA NA
1617310800.0 134.813 NA 170 63 0 NA NA 395 203 0 NA NA 7015 454 592 NA NA 9065 1924 2349 NA
1617310800.0 134.901 NA 40 NA NA NA NA 166 NA NA NA NA 379 NA NA NA NA 2143 NA NA NA
1617310800.0 134.902 NA 43 NA NA NA NA 170 NA NA NA NA 367 NA NA NA NA 1159 NA NA NA
1617310800.0 134.903 NA 44 NA NA NA NA 171 NA NA NA NA 375 NA NA NA NA 1802 NA NA NA
1617310800.0 134.904 NA 58 NA NA NA NA 176 NA NA NA NA 379 NA NA NA NA 2215 NA NA NA
1617310800.0 134.905 NA 56 NA NA NA NA 168 NA NA NA NA 396 NA NA NA NA 1566 NA NA NA
1617310800.0 134.906 NA 41 NA NA NA NA 168 NA NA NA NA 382 NA NA NA NA 1684 NA NA NA
1617310800.0 134.907 NA 115 NA NA NA NA 293 NA NA NA NA 1202 NA NA NA NA 3976 NA NA NA
1617310800.0 134.908 NA 116 NA NA NA NA 304 NA NA NA NA 1227 NA NA NA NA 1808 NA NA NA
1617310800.0 134.909 NA 58 NA NA NA NA 166 NA NA NA NA 370 NA NA NA NA 2255 NA NA NA
1617310800.0 134.91 NA 39 NA NA NA NA 167 NA NA NA NA 371 NA NA NA NA 1232 NA NA NA
1617310800.0 134.911 NA 58 NA NA NA NA 167 NA NA NA NA 388 NA NA NA NA 2288 NA NA NA
1617310800.0 134.912 NA 56 NA NA NA NA 165 NA NA NA NA 367 NA NA NA NA 1045 NA NA NA
1617310800.0 134.99601 NA 47 NA NA NA NA 170 NA NA NA NA 394 NA NA NA NA 1501 NA NA NA
1617310800.0 134.99602 NA 57 NA NA NA NA 167 NA NA NA NA 354 NA NA NA NA 1378 NA NA NA
1617310800.0 134.99603 NA 46 NA NA NA NA 168 NA NA NA NA 374 NA NA NA NA 1200 NA NA NA
1617310800.0 134.99901 NA 58 NA NA NA NA 173 NA NA NA NA 402 NA NA NA NA 2325 NA NA NA
1617310800.0 1340.0 NA 136 NA NA NA NA 489 NA NA NA NA 3008 NA NA NA NA 3444 NA NA NA
1617310800.0 1341.0 NA 159 NA NA NA NA 485 NA NA NA NA 4156 NA NA NA NA 3255 NA NA NA
1617310800.0 1343.0 NA 153 NA NA NA NA 505 NA NA NA NA 3128 NA NA NA NA 3949 NA NA NA
1617310800.0 1344.0 NA 142 NA NA NA NA 487 NA NA NA NA 3179 NA NA NA NA 1855 NA NA NA
1617310800.0 1345.0 NA 155 NA NA NA NA 609 NA NA NA NA 2994 NA NA NA NA 3980 NA NA NA
1617310800.0 1347.0 NA 158 NA NA NA NA 494 NA NA NA NA 3296 NA NA NA NA 3508 NA NA NA
1617310800.0 1348.0 NA 157 NA NA NA NA 531 NA NA NA NA 4119 NA NA NA NA 4732 NA NA NA
1617310800.0 1349.0 NA 150 NA NA NA NA 539 NA NA NA NA 3534 NA NA NA NA 3748 NA NA NA
1617310800.0 135.8 341 NA NA NA NA 555 NA NA NA NA 4901 NA NA NA NA 1932 NA NA NA NA
1617310800.0 1350.0 NA 157 NA NA NA NA 555 NA NA NA NA 3337 NA NA NA NA 3826 NA NA NA
1617310800.0 1351.0 NA 154 NA NA NA NA 544 NA NA NA NA 5926 NA NA NA NA 5032 NA NA NA
1617310800.0 1352.0 NA 144 NA NA NA NA 523 NA NA NA NA 3259 NA NA NA NA 3675 NA NA NA
1617310800.0 1353.0 NA 155 NA NA NA NA 650 NA NA NA NA 3111 NA NA NA NA 4310 NA NA NA
1617310800.0 1354.0 NA 153 NA NA NA NA 457 NA NA NA NA 3364 NA NA NA NA 1835 NA NA NA
1617310800.0 1355.0 NA 153 NA NA NA NA 559 NA NA NA NA 3283 NA NA NA NA 4479 NA NA NA
1617310800.0 1356.0 84 143 NA NA NA 236 589 NA NA NA 70415 3324 NA NA NA 75357 4356 NA NA NA
1617310800.0 136.721 NA 99 NA NA NA NA 233 NA NA NA NA 2180 NA NA NA NA 3077 NA NA NA
1617310800.0 136.722 NA 99 NA NA NA NA 235 NA NA NA NA 1829 NA NA NA NA 1749 NA NA NA
