Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1617138000.0 1352.0 NA 264 NA NA 730 NA NA 1690 NA NA 1970 NA
1617138000.0 1353.0 NA 315 NA NA 738 NA NA 1584 NA NA 1994 NA
1617138000.0 1354.0 NA 313 NA NA 733 NA NA 1650 NA NA 2069 NA
1617138000.0 1355.0 NA 243 NA NA 735 NA NA 1654 NA NA 1796 NA
1617138000.0 1356.0 180 236 NA 555 627 NA 1922 2029 NA 1738 2307 NA
1617138000.0 136.721 NA 173 NA NA 583 NA NA 943 NA NA 876 NA
1617138000.0 136.722 NA 195 NA NA 570 NA NA 901 NA NA 538 NA
1617138000.0 136.723 NA 172 NA NA 578 NA NA 869 NA NA 877 NA
1617138000.0 136.724 NA 174 NA NA 572 NA NA 927 NA NA 726 NA
1617138000.0 136.725 NA 253 NA NA 573 NA NA 799 NA NA 449 NA
1617138000.0 136.726 NA 176 NA NA 573 NA NA 930 NA NA 528 NA
1617138000.0 136.727 NA 269 NA NA 692 NA NA 1870 NA NA 2010 NA
1617138000.0 136.728 NA 266 NA NA 709 NA NA 2531 NA NA 2554 NA
1617138000.0 136.729 NA 253 NA NA 582 NA NA 887 NA NA 583 NA
1617138000.0 136.73 NA 172 NA NA 570 NA NA 907 NA NA 900 NA
1617138000.0 136.731 NA 222 NA NA 567 NA NA 870 NA NA 981 NA
1617138000.0 136.732 NA 176 NA NA 566 NA NA 850 NA NA 694 NA
1617138000.0 136.734 NA 181 NA NA 580 NA NA 958 NA NA 536 NA
1617138000.0 136.735 NA 185 NA NA 577 NA NA 950 NA NA 583 NA
1617138000.0 136.736 NA 175 NA NA 585 NA NA 946 NA NA 896 NA
1617138000.0 136.737 NA 177 NA NA 583 NA NA 914 NA NA 603 NA
1617138000.0 136.738 NA 184 NA NA 578 NA NA 1072 NA NA 1335 NA
1617138000.0 136.739 NA 175 NA NA 581 NA NA 1330 NA NA 1439 NA
1617138000.0 136.74 NA 177 NA NA 582 NA NA 947 NA NA 600 NA
1617138000.0 136.741 NA 183 NA NA 577 NA NA 942 NA NA 540 NA
1617138000.0 136.742 NA 175 NA NA 573 NA NA 985 NA NA 905 NA
1617138000.0 136.743 NA 178 NA NA 574 NA NA 909 NA NA 530 NA
1617138000.0 136.744 NA 172 NA NA 571 NA NA 981 NA NA 978 NA
1617138000.0 136.745 NA 177 NA NA 582 NA NA 915 NA NA 895 NA
1617138000.0 136.746 NA 174 NA NA 588 NA NA 986 NA NA 946 NA
1617138000.0 136.747 NA 174 NA NA 578 NA NA 901 NA NA 732 NA
1617138000.0 136.748 NA 175 NA NA 573 NA NA 898 NA NA 902 NA
1617138000.0 136.749 NA 172 NA NA 575 NA NA 1083 NA NA 1079 NA
1617138000.0 136.75 NA 174 NA NA 583 NA NA 922 NA NA 600 NA
1617138000.0 136.751 NA 172 NA NA 579 NA NA 926 NA NA 894 NA
1617138000.0 136.752 NA 178 NA NA 584 NA NA 981 NA NA 811 NA
